IT TENDER DATA ANALYSIS (Gemini AI)
================================================================================

Analysis Date: 2025-11-11 22:06:20
Source File: tenders_data.json
Total Tenders Analyzed: 88

================================================================================

Анализ на обществени поръчки, свързани с информационни технологии (ИТ), от eop.bg

Общ брой обществени поръчки: 88
Дата на последна актуализация (използвана за изчисляване на оставащи дни): 2025-11-11

---

### 1. Идентифицирани обществени поръчки, свързани с информационни технологии

След преглед на пълните данни за обществени поръчки, бяха идентифицирани 15 поръчки, свързани с информационни технологии, въз основа на предоставените ключови думи и описанието на предмета на поръчката:

1.  **Поръчка № 05948-2025-0112**
    *   **Купувач:** ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД
    *   **Описание на ИТ решение/услуга:** Надграждане и абонаментно техническо обслужване на система за управление на човешките ресурси (ЧР) и работните заплати за Министерство на енергетиката.
    *   **Прогнозна стойност:** BGN 43 646.00
    *   **Краен срок за подаване:** 2025-11-21 23:59
    *   **Връзка:** /today/538148

2.  **Поръчка № 00737-2025-0012**
    *   **Купувач:** ДЪРЖАВЕН ФОНД "ЗЕМЕДЕЛИЕ"
    *   **Описание на ИТ решение/услуга:** Подновяване и услуги по доставка на 1600 лицензи за Symantec Endpoint Protection, включително актуализации, поддръжка, консултации, техническа помощ и обучение.
    *   **Прогнозна стойност:** BGN 200 000.00
    *   **Краен срок за подаване:** 2025-12-02 23:59
    *   **Връзка:** /today/532031

3.  **Поръчка № 02718-2025-0321**
    *   **Купувач:** ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ "ДЪРЖАВНО ЛОВНО СТОПАНСТВО "ТРАКИЯ" - с. СТРЯМА"
    *   **Описание на ИТ решение/услуга:** Осигуряване на комуникационна свързаност и достъп до интернет в ловен дом „Градина“.
    *   **Прогнозна стойност:** BGN 3 200.00
    *   **Краен срок за подаване:** 2025-11-21 23:59
    *   **Връзка:** /today/539188

4.  **Поръчка № 01652-2025-0010**
    *   **Купувач:** 31-ВО СРЕДНО УЧИЛИЩЕ ЗА ЧУЖДИ ЕЗИЦИ И МАТЕМАТИКА "ИВАН ВАЗОВ"
    *   **Описание на ИТ решение/услуга:** Доставка, монтаж и гаранционно обслужване на компютърна и периферна техника за нуждите на СТЕМ център.
    *   **Прогнозна стойност:** BGN 127 930.00
    *   **Краен срок за подаване:** 2025-12-01 23:59
    *   **Връзка:** /today/537455

5.  **Поръчка № 04847-2025-0001**
    *   **Купувач:** ОБЕДИНЕНО УЧИЛИЩЕ "ХРИСТО БОТЕВ"
    *   **Описание на ИТ решение/услуга:** Доставка, монтаж, въвеждане в експлоатация и гаранционна поддръжка на оборудване за училищна STEM среда, включително компютърни модули, преносими и настолни компютри, интерактивен дисплей и компютърни аксесоари.
    *   **Прогнозна стойност:** BGN 70 984.85
    *   **Краен срок за подаване:** 2025-11-24 23:59
    *   **Връзка:** /today/538920

6.  **Поръчка № 02873-2025-0003**
    *   **Купувач:** ВТОРО ОСНОВНО УЧИЛИЩЕ "ПРОФ.Д-Р АСЕН ЗЛАТАРОВ"
    *   **Описание на ИТ решение/услуга:** Доставка на STEM оборудване, интерактивна техника и ИКТ устройства (лаптопи, принтери, интерактивни дисплеи, настолни компютри, графични таблети, камери) за учебния процес.
    *   **Прогнозна стойност:** BGN 84 573.43
    *   **Краен срок за подаване:** 2025-11-21 23:59
    *   **Връзка:** /today/538584

7.  **Поръчка № 00633-2025-0003**
    *   **Купувач:** СЕВЛИЕВОГАЗ-2000 АД
    *   **Описание на ИТ решение/услуга:** Услуги по инкасиране на суми в брой с използване на софтуер и ресурси на изпълнителя, работещи в реално време, и пренос на информация през Интернет, със софтуерна съвместимост.
    *   **Прогнозна стойност:** BGN 84 900.00
    *   **Краен срок за подаване:** 2025-11-21 23:59
    *   **Връзка:** /today/538681

8.  **Поръчка № 02718-2025-0319**
    *   **Купувач:** ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ "ДЪРЖАВНО ГОРСКО СТОПАНСТВО-БОРИНО"
    *   **Описание на ИТ решение/услуга:** Охрана с помощта на сигнално-известителна техника и нейното поддържане.
    *   **Прогнозна стойност:** BGN 7 200.00
    *   **Краен срок за подаване:** 2025-12-02 23:59
    *   **Връзка:** /today/538985

9.  **Поръчка № 00423-2025-0018**
    *   **Купувач:** МЕТРОПОЛИТЕН ЕАД
    *   **Описание на ИТ решение/услуга:** Абонаментно сервизно поддържане на системата за контрол на достъпа и таксуване на пътници в Софийското метро, включително електромеханични бариери, валидатори, автоматизирани работни места и автомати за билети.
    *   **Прогнозна стойност:** BGN 153 500.00
    *   **Краен срок за подаване:** 2025-12-03 23:59
    *   **Връзка:** /today/538554

10. **Поръчка № 05948-2025-0111**
    *   **Купувач:** ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД
    *   **Описание на ИТ решение/услуга:** Доставка на сървър, SAN комутатор, хардуерна поддръжка за дисков масив, решение за централизирано автентикиране на потребителите и система за защита и инспекция на DNS трафика.
    *   **Прогнозна стойност:** BGN 160 860.00
    *   **Краен срок за подаване:** 2025-12-10 23:59
    *   **Връзка:** /today/538347

11. **Поръчка № 05948-2025-0110**
    *   **Купувач:** ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД
    *   **Описание на ИТ решение/услуга:** Услуги (предполагаемо ИТ услуги, базирано на името на възложителя).
    *   **Прогнозна стойност:** BGN 127 500.00
    *   **Краен срок за подаване:** 2025-12-10 23:59
    *   **Връзка:** /today/536261

12. **Поръчка № 05948-2025-0109**
    *   **Купувач:** ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД
    *   **Описание на ИТ решение/услуга:** Техническа поддръжка на Регистъра на обществените поръчки (РОП) и свързания с него специализиран софтуер, включително актуализации.
    *   **Прогнозна стойност:** BGN 120 000.00
    *   **Краен срок за подаване:** 2025-12-10 23:59
    *   **Връзка:** /today/536492

13. **Поръчка № 00042-2025-0018**
    *   **Купувач:** МИНИСТЕРСТВО НА ТРАНСПОРТА И СЪОБЩЕНИЯТА
    *   **Описание на ИТ решение/услуга:** Осигуряване на публичност по Програма „Транспортна свързаност“ чрез закупуване на реклама, създаване на съдържание за социални мрежи, онлайн материали и стратегически медийни кампании.
    *   **Прогнозна стойност:** BGN 250 000.00
    *   **Краен срок за подаване:** 2025-12-10 23:59
    *   **Връзка:** /today/532515

14. **Поръчка № 00705-2
