IT TENDER DATA ANALYSIS (Gemini AI)
================================================================================

Analysis Date: 2025-11-14 22:06:05
Source File: tenders_data.json
Total Tenders Analyzed: 150

================================================================================

Предоставям анализ на обществените поръчки, свързани с информационни технологии (ИТ), въз основа на предоставените данни от eop.bg.

## 1. Идентифицирани ИТ обществени поръчки

Филтрирах данните, търсейки ключови думи като "IT", "ИТ", "информационни технологии", "софтуер", "software", "хардуер", "hardware", "системи", "мрежи", "компютър", "лаптоп", "дисплей", "сървър", "дисков масив", "STEM" и други, както в "tender_objective", така и в "documentation" полетата. Открих 14 обществени поръчки, които са пряко свързани с информационните технологии.

Ето детайли за всяка от тях:

1.  **Поръчка №**: 02649-2025-0002
    *   **Купувач**: ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И ЕЛЕКТРОНИКА "АПОСТОЛ АРНАУДОВ"
    *   **Описание на ИТ решение/услуга**: Доставка, монтаж, инсталация, настройка, въвеждане в експлоатация на технологично оборудване и обучение на педагогически специалисти, включително компютърно оборудване и образователно оборудване.
    *   **Прогнозна стойност**: BGN 86 000,00
    *   **Краен срок за подаване**: 2025-11-24 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540616

2.  **Поръчка №**: 00403-2025-0027
    *   **Купувач**: НАЦИОНАЛЕН СТАТИСТИЧЕСКИ ИНСТИТУТ
    *   **Описание на ИТ решение/услуга**: Доставка на 150 броя преносими мобилни устройства (таблети).
    *   **Прогнозна стойност**: BGN 75 000,00
    *   **Краен срок за подаване**: 2025-12-04 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540575

3.  **Поръчка №**: 00648-2025-0004
    *   **Купувач**: ИНСТИТУТ ЗА ЯДРЕНИ ИЗСЛЕДВАНИЯ И ЯДРЕНА ЕНЕРГЕТИКА
    *   **Описание на ИТ решение/услуга**: Доставка на компютърно оборудване, включително специализирана система за съхранение на данни - дисков масив.
    *   **Прогнозна стойност**: BGN 31 000,00
    *   **Краен срок за подаване**: 2025-11-24 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540291

