IT TENDER DATA ANALYSIS (Gemini AI)
================================================================================

Analysis Date: 2025-11-28 21:58:55
Source File: tenders_data.json
Total Tenders Analyzed: 89

================================================================================

Анализ на обществени поръчки, свързани с информационни технологии (ИТ) от eop.bg

**1. Идентифициране на ИТ поръчки:**

Въз основа на предоставения списък с обществени поръчки и зададените ключови думи (ИТ, информационни технологии, софтуер, хардуер, системи, мрежи, сървъри, разработка, внедряване, кибер, сигурност, Cloud, облак, дата центрове, приложения, уеб, бази данни, интеграция, компютър, компютърна техника, мобилна телефонна връзка, телекомуникационно оборудване, ПОЛИКОНТ, STEM, видеонаблюдение, интерактивни дисплеи, аудио-визуално оборудване, печатна техника, МФУ устройства, режещ плотер, 3D принтер, SAP), бяха идентифицирани следните 17 ИТ-свързани обществени поръчки от общо 41 предоставени:

**2. Обобщение на ИТ поръчките:**

| # | Поръчка № | Купувач | Описание на ИТ решение/услуга | Прогнозна стойност (BGN) | Краен срок за подаване | Връзка към поръчката | Категория ИТ |
|---|---|---|---|---|---|---|---|
| 1 | 02421-2025-0005 | ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АГРАРНИ ТЕХНОЛОГИИ "ЦАНКО ЦЕРКОВСКИ" | Доставка и гаранционна поддръжка на компютърна техника за STEM център. | 138,400.00 | 2025-12-29 23:59 | https://app.eop.bg/today/543365 | Хардуер, ИТ Услуги |
| 2 | 02000-2025-0004 | СРЕДНО УЧИЛИЩЕ "ТРАЙКО СИМЕОНОВ" | Доставка, монтаж, гаранционна поддръжка и въвеждане в експлоатация на оборудване за училищна STEM среда и високотехнологични класни стаи. | 56,211.73 | 2025-12-08 23:59 | https://app.eop.bg/today/543939 | ИТ Оборудване (STEM/Образователни технологии), ИТ Услуги |
| 3 | 01351-2025-0080 | БУЛГАРТРАНСГАЗ ЕАД | Изместване/реконструкция на газопровод, включващо изграждане на нова оптична кабелна линия (854.51м, 48 оптични влакна), нова станция за катодна защита и електрозахранващи кабели. | 6,423,940.00 | 2025-12-12 23:59 | https://app.eop.bg/today/525172 | Мрежова инфраструктура (Оптични влакна) |
| 4 | 05948-2025-0123 | ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД | Услуги, описани подробно в Техническа спецификация. (Предполага се, че са ИТ услуги предвид наименованието на купувача). | 925,410.00 | 2025-12-08 23:59 | https://app.eop.bg/today/538036 | ИТ Услуги (Общи, предполагаеми) |
| 5 | 04448-2025-0002 | ОСНОВНО УЧИЛИЩЕ "ИВАН ВАЗОВ" | Доставка и монтаж на образователно оборудване за изграждане на STEM център. | 63,972.96 | 2025-12-09 23:59 | https://app.eop.bg/today/543725 | ИТ Оборудване (STEM/Образователни технологии) |
| 6 | 04448-2025-0001 | ОСНОВНО УЧИЛИЩЕ "ИВАН ВАЗОВ" | Доставка и монтаж на компютърно оборудване за изграждане на STEM център. | 27,990.53 | 2025-12-09 23:59 | https://app.eop.bg/today/543710 | Хардуер, ИТ Оборудване (STEM/Образователни технологии) |
| 7 | 00207-2025-0158 | РАЙОННА ЗДРАВНООСИГУРИТЕЛНА КАСА - ДОБРИЧ | Следгаранционно сервизно обслужване на климатици в работни и сървърни помещения, включително доставка и монтаж на резервни части. | 5,000.00 | 2026-01-07 23:59 | https://app.eop.bg/today/543317 | ИТ Инфраструктурни услуги (Охлаждане на сървърни помещения) |
| 8 | 00110-2025-0066 | ОБЩИНА ТЕРВЕЛ | Основен ремонт на улица, включително изграждане на тръбна мрежа за съобщителна инфраструктура. | 290,704.60 | 2025-12-22 23:59 | https://app.eop.bg/today/543849 | Мрежова инфраструктура (Комуникационна инфраструктура) |
| 9 | 01870-2025-0005 | ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО МЕХАНОТЕХНИКА "ПРОФ. ЦВЕТАН ЛАЗАРОВ" - гр. ПЛОВДИВ | Доставка и монтаж на 12 преносими компютъра, 30 монитора и 1 мултифункционално лазерно устройство. | 24,500.00 | 2025-12-18 23:59 | https://app.eop.bg/today/543891 | Хардуер (Компютри, Периферни устройства) |
| 10 | 02912-2025-0001 | ОСНОВНО УЧИЛИЩЕ "ХРИСТО БОТЕВ" | Доставка, монтаж и въвеждане в експлоатация на оборудване за STEM среда, включително компютри, периферия, интерактивни дисплеи, аудио-визуално оборудване, печатна техника, МФУ, плотер и 3D принтер. | 93,675.15 | 2025-12-09 23:59 | https://app.eop.bg/today/543836 | Хардуер (Компютри, Периферни устройства, Специализирана техника), ИТ Оборудване (STEM/Аудио-визуално) |
| 11 | 04643-2025-0003 | СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО,АРХИТЕКТУРА И ГЕОДЕЗИЯ "ХРИСТО БОТЕВ" | Доставка, монтаж, въвеждане в експлоатация и гаранционна поддръжка на технологично оборудване за училищна STEM среда и високотехнологични класни стаи, както и преносими компютри. | 133,982.20 | 2025-12-18 23:59 | https://app.eop.bg/today/543606 | Хардуер (Компютри), ИТ Оборудване (STEM/Образователни технологии), ИТ Услуги |
| 12 | 00422-2025-0014 | МИНИСТЕРСТВО НА ТРУДА И СОЦИАЛНАТА ПОЛИТИКА | Доставка, монтаж, пуск и гаранционна поддръжка на система за видеонаблюдение и Интернет достъп за административна сграда. | 99,999.00 | 2025-12-08 23:59 | https://app.eop.bg/today/537698 | Системи за сигурност, Мрежови услуги, ИТ Услуги |
| 13 | 00311-2025-0038 | АГЕНЦИЯ ПО ЗАЕТОСТТА | Абонаментна поддръжка на модул „Финансов контрол“, част от интегрираната система ПОЛИКОНТ. | 26,116.29 | 2025-12-09 23:59 | https://app.eop.bg/today/542825 | Поддръжка на софтуер, ИТ Услуги |
| 14 | 00143-2025-0204 | Електроразпределение Юг ЕАД | Доставка на нови системи за непрекъсваемо захранване (UPS) за телекомуникационни стаи и контейнери от радиорелейна мрежа. | 990,751.00 | 2026-01-07 23:59 | https://app.eop.bg/today/541051 | Мрежова инфраструктура, Енергийни системи (за ИТ), Хардуер |
| 15 | 01379-2025-0168 | ЕЛЕКТРОЕНЕРГИЕН СИСТЕМЕН ОПЕРАТОР ЕАД | Доставка на модули за телекомуникационно оборудване за разширение и поддръжка на DWDM телекомуникационна мрежа, софтуерен ъпгрейд и извънгаранционни консултации. | 4,499,999.99 | 2026-01-12 23:59 | https://app.eop.bg/today/534299 | Мрежов хардуер, Мрежови услуги, Софтуерни услуги |
| 16 | 0
