IT TENDER DATA ANALYSIS (Gemini AI)
================================================================================

Analysis Date: 2025-12-01 22:03:38
Source File: tenders_data.json
Total Tenders Analyzed: 89

================================================================================

На базата на предоставените данни, анализът на обществените поръчки, свързани с Информационни технологии (ИТ), е както следва:

### 1. Идентифицирани обществени поръчки, свързани с информационни технологии (ИТ)

Прегледани са всички 89 обявени обществени поръчки. След внимателен анализ на "tender_objective" и "documentation" за ключови думи като "ИТ", "информационни технологии", "софтуер", "хардуер", "системи", "мрежи", "компютърно оборудване", "електронни ресурси", "бази данни", "интеграция", "STEM среда" (в контекст на технологии), са идентифицирани следните 14 поръчки:

1.  **Поръчка №:** 03088-2025-0004
    *   **Купувач:** НАЧАЛНО УЧИЛИЩЕ "ВАСИЛ ДРУМЕВ"
    *   **Кратко описание на ИТ решение/услуга:** Доставка, монтаж и гаранционна поддръжка на компютърно оборудване и техника, включително обучение на персонала за изграждане на училищна STEM среда и оборудване за високотехнологични класни стаи.
    *   **Прогнозна стойност:** BGN 43 149,26
    *   **Краен срок за подаване:** 2025-12-22 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/544010`

2.  **Поръчка №:** 03088-2025-0003
    *   **Купувач:** НАЧАЛНО УЧИЛИЩЕ "ВАСИЛ ДРУМЕВ"
    *   **Кратко описание на ИТ решение/услуга:** Доставка, монтаж и гаранционна поддръжка на специализирана техника за изграждане на високотехнологично оборудвани и свързани класни стаи (ВОСКС) в училищна STEM среда, включително обучение на персонала.
    *   **Прогнозна стойност:** BGN 102 849,36
    *   **Краен срок за подаване:** 2025-12-22 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/544016`

3.  **Поръчка №:** 01639-2025-0002
    *   **Купувач:** ОСНОВНО УЧИЛИЩЕ "СТЕФАН КАРАДЖА"
    *   **Кратко описание на ИТ решение/услуга:** Доставка и монтаж на интерактивен дисплей 86" (1 бр.), компютърен модул тип OPS (1 бр.) и преносими компютри (2 бр.), с инсталация и гаранционно обслужване.
    *   **Прогнозна стойност:** BGN 7 500,00
    *   **Краен срок за подаване:** 2025-12-11 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/544005`

4.  **Поръчка №:** 01639-2025-0001
    *   **Купувач:** ОСНОВНО УЧИЛИЩЕ "СТЕФАН КАРАДЖА"
    *   **Кратко описание на ИТ решение/услуга:** Доставка и монтаж на интерактивни дисплеи (5 бр.), OPS компютърни модули (3 бр.), камери (5 бр.), графични таблети (15 бр.), различни видове преносими компютри (общо 23 бр.), безжични рутери Wi-Fi 6 (5 бр.) и UPS защита (5 бр.), включително инсталация, обучение на служители и гаранционно обслужване.
    *   **Прогнозна стойност:** BGN 54 718,47
    *   **Краен срок за подаване:** 2025-12-11 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/533863`

5.  **Поръчка №:** 00353-2025-0247
    *   **Купувач:** АЕЦ КОЗЛОДУЙ ЕАД
    *   **Кратко описание на ИТ решение/услуга:** Абонаментен сервиз и поддръжка на информационна система за документооборот с безхартиен процес, включително консултиране, промени в програмния код и поддръжка на място.
    *   **Прогнозна стойност:** BGN 90 000,00
    *   **Краен срок за подаване:** 2025-12-15 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/542601`

6.  **Поръчка №:** 05948-2025-0124
    *   **Купувач:** ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД
    *   **Кратко описание на ИТ решение/услуга:** Услуги, описани подробно в Техническата спецификация. Възложителят е ключов държавен ИТ доставчик, което предполага ИТ услуги (разработка, поддръжка на системи, консултации).
    *   **Прогнозна стойност:** BGN 4 089 850,00
    *   **Краен срок за подаване:** 2025-12-11 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/539005`

7.  **Поръчка №:** 00062-2025-0077
    *   **Купувач:** УНИВЕРСИТЕТ ЗА НАЦИОНАЛНО И СВЕТОВНО СТОПАНСТВО
    *   **Кратко описание на ИТ решение/услуга:** Осигуряване на едногодишен лицензиран достъп до EBSCO Discovery Service (EDS) и OpenAthens – софтуерни услуги за обединен достъп и контрол на електронни ресурси, включително Single Sign-On (SSO) технология и интеграция.
    *   **Прогнозна стойност:** BGN 60 000,00
    *   **Краен срок за подаване:** 2026-01-06 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/541547`

8.  **Поръчка №:** 00696-2025-0038
    *   **Купувач:** МИНИСТЕРСТВО НА ЗЕМЕДЕЛИЕТО И ХРАНИТЕ
    *   **Кратко описание на ИТ решение/услуга:** Програмно поддържане, работа с база данни и консултации по програмни системи от информационна система “Ферма” и регистъра на имотите от ДПФ.
    *   **Прогнозна стойност:** BGN 62 472,00
    *   **Краен срок за подаване:** 2025-12-11 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/541698`

9.  **Поръчка №:** 02059-2025-0002
    *   **Купувач:** УЧИЛИЩЕ "ОТЕЦ ПАИСИЙ"
    *   **Кратко описание на ИТ решение/услуга:** Изграждане на съвременен STEM – център, осигуряващ подходящи условия за практическо и интерактивно обучение на учениците чрез интегриране на нови технологии и лабораторна среда.
    *   **Прогнозна стойност:** BGN 112 979,87
    *   **Краен срок за подаване:** 2025-12-22 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/540251`

10. **Поръчка №:** 00119-2025-0062
    *   **Купувач:** ОБЩИНА КАЗАНЛЪК
    *   **Кратко описание на ИТ решение/услуга:** Доставка на модулна мобилна сцена с подиум и система за ефектно осветление и озвучаване, включително пултове за управление на осветлението, цифрови смесителени пултове, микрофони, които са базирани на ИТ технологии.
    *   **Прогнозна стойност:** BGN 778 816,20
    *   **Краен срок за подаване:** 2026-01-05 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/542821`

11. **Поръчка №:** 01324-2025-0016
    *   **Купувач:** ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТВАНЕ И СТРОИТЕЛСТВО "ЦАР ИВАН АСЕН ВТОРИ"
    *   **Кратко описание на ИТ решение/услуга:** Доставка на техника за оборудване на зала в Център за високи постижения, целящ изграждане на иновативно учебно пространство за практическо и интерактивно обучение.
    *   **Прогнозна стойност:** BGN 19 339,80
    *   **Краен срок за подаване:** 2025-12-30 23:59
    *   **Линк към поръчката:** `https://app.eop.bg/today/543302`

12. **Поръчка №:** 01324-2025-0015
    *   **Купувач:** ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ДЪРВООБРАБОТ
